response_id,call_timestamp,calling_source,matched_spot_time,matched_end_time,matched_tfn,station,creative,impressions,attribution_window,attribution_status,weight
0,2024-07-01 02:00:30,800-495-3358,2024-07-01 02:00:08,2024-07-01 02:30:08,800-495-3358,Station A,Creative 3,154.0,30 minutes,Attributed (TFN + Time Window + Weights),30.0
0,2024-07-01 02:00:30,800-495-3358,2024-07-01 02:00:08,2024-07-01 02:30:08,800-495-3358,Station A,Creative 3,154.0,30 minutes,Attributed (TFN + Time Window + Weights),30.0
1,2024-07-01 11:27:34,800-285-3502,2024-07-01 11:27:34,2024-07-01 11:57:34,800-285-3502,Station C,Creative 2,863.0,30 minutes,Attributed (TFN + Time Window + Weights),30.0
1,2024-07-01 11:27:34,800-285-3502,2024-07-01 11:27:34,2024-07-01 11:57:34,800-285-3502,Station C,Creative 2,863.0,30 minutes,Attributed (TFN + Time Window + Weights),30.0
2,2024-07-01 12:08:03,800-684-9044,2024-07-01 06:21:52,2024-07-01 07:21:52,800-684-9044,Station B,Creative 1,546.0,60 minutes,Attributed (TFN only),
3,2024-07-01 10:38:18,800-684-9044,2024-07-01 06:21:52,2024-07-01 07:21:52,800-684-9044,Station B,Creative 1,546.0,60 minutes,Attributed (TFN only),
4,2024-07-01 02:00:08,800-495-3358,2024-07-01 02:00:08,2024-07-01 02:30:08,800-495-3358,Station A,Creative 3,154.0,30 minutes,Attributed (TFN + Time Window + Weights),30.0
4,2024-07-01 02:00:08,800-495-3358,2024-07-01 02:00:08,2024-07-01 02:30:08,800-495-3358,Station A,Creative 3,154.0,30 minutes,Attributed (TFN + Time Window + Weights),30.0
5,2024-07-01 06:21:52,800-684-9044,2024-07-01 06:21:52,2024-07-01 07:21:52,800-684-9044,Station B,Creative 1,546.0,60 minutes,Attributed (TFN + Time Window + Weights),20.0
5,2024-07-01 06:21:52,800-684-9044,2024-07-01 06:21:52,2024-07-01 07:21:52,800-684-9044,Station B,Creative 1,546.0,60 minutes,Attributed (TFN + Time Window + Weights),20.0
6,2024-07-01 13:52:55,800-684-9044,2024-07-01 06:21:52,2024-07-01 07:21:52,800-684-9044,Station B,Creative 1,546.0,60 minutes,Attributed (TFN only),
7,2024-07-01 15:16:18,800-731-5145,2024-07-01 15:16:18,2024-07-01 16:16:18,800-731-5145,Station B,Creative 1,364.0,60 minutes,Attributed (TFN + Time Window + Weights),20.0
7,2024-07-01 15:16:18,800-731-5145,2024-07-01 15:16:18,2024-07-01 16:16:18,800-731-5145,Station B,Creative 1,364.0,60 minutes,Attributed (TFN + Time Window + Weights),20.0
8,2024-07-01 16:28:42,800-806-3963,2024-07-01 16:28:42,2024-07-01 16:58:42,800-806-3963,Station A,Creative 3,721.0,30 minutes,Attributed (TFN + Time Window + Weights),30.0
8,2024-07-01 16:28:42,800-806-3963,2024-07-01 16:28:42,2024-07-01 16:58:42,800-806-3963,Station A,Creative 3,721.0,30 minutes,Attributed (TFN + Time Window + Weights),30.0
9,2024-07-01 20:36:46,800-731-5145,2024-07-01 15:16:18,2024-07-01 16:16:18,800-731-5145,Station B,Creative 1,364.0,60 minutes,Attributed (TFN only),
10,2024-07-01 21:57:56,800-684-9044,2024-07-01 06:21:52,2024-07-01 07:21:52,800-684-9044,Station B,Creative 1,546.0,60 minutes,Attributed (TFN only),
11,2024-07-01 20:29:50,800-684-9044,2024-07-01 06:21:52,2024-07-01 07:21:52,800-684-9044,Station B,Creative 1,546.0,60 minutes,Attributed (TFN only),
12,2024-07-01 20:36:27,800-927-1305,2024-07-01 20:36:27,2024-07-01 21:06:27,800-927-1305,Station C,Creative 1,202.0,30 minutes,Attributed (TFN + Time Window + Weights),30.0
12,2024-07-01 20:36:27,800-927-1305,2024-07-01 20:36:27,2024-07-01 21:06:27,800-927-1305,Station C,Creative 1,202.0,30 minutes,Attributed (TFN + Time Window + Weights),30.0
13,2024-07-01 17:22:45,800-739-4517,2024-07-01 17:22:45,2024-07-01 17:52:45,800-739-4517,Station C,Creative 2,549.0,30 minutes,Attributed (TFN + Time Window + Weights),30.0
13,2024-07-01 17:22:45,800-739-4517,2024-07-01 17:22:45,2024-07-01 17:52:45,800-739-4517,Station C,Creative 2,549.0,30 minutes,Attributed (TFN + Time Window + Weights),30.0
14,2024-07-01 17:28:46,800-920-2436,2024-07-01 17:26:30,2024-07-01 17:56:30,800-920-2436,Station A,Creative 1,208.0,30 minutes,Attributed (TFN + Time Window + Weights),30.0
14,2024-07-01 17:28:46,800-920-2436,2024-07-01 17:26:30,2024-07-01 17:56:30,800-920-2436,Station A,Creative 1,208.0,30 minutes,Attributed (TFN + Time Window + Weights),30.0
15,2024-07-01 17:21:17,800-994-9120,2024-07-01 17:18:59,2024-07-01 18:18:59,800-994-9120,Station C,Creative 2,475.0,60 minutes,Attributed (TFN + Time Window + Weights),20.0
15,2024-07-01 17:21:17,800-994-9120,2024-07-01 17:18:59,2024-07-01 18:18:59,800-994-9120,Station C,Creative 2,475.0,60 minutes,Attributed (TFN + Time Window + Weights),20.0
