"sub_campaign_code","revenue","call_timestamp","calling_source"
ALMJ,"","2024-07-01 02:00:30","800-495-3358"
ALMJ,"","2024-07-01 11:27:34","800-285-3502"
ALMJ,"","2024-07-01 12:08:03","800-684-9044"
ALMJ,"","2024-07-01 10:38:18","800-684-9044"
ALMJ,"","2024-07-01 02:00:08","800-495-3358"
ALMJ,"","2024-07-01 06:21:52","800-684-9044"
ALMJ,"","2024-07-01 13:52:55","800-684-9044"
ALMJ,"","2024-07-01 15:16:18","800-731-5145"
ALMJ,"","2024-07-01 16:28:42","800-806-3963"
ALMJ,"","2024-07-01 20:36:46","800-731-5145"
ALMJ,"","2024-07-01 21:57:56","800-684-9044"
ALMJ,"","2024-07-01 20:29:50","800-684-9044"
ALMJ,"","2024-07-01 20:36:27","800-927-1305"
ALTC,"","2024-07-01 17:22:45","800-739-4517"
AMB,"","2024-07-01 17:28:46","800-920-2436"
AMB,"","2024-07-01 17:21:17","800-994-9120"
AMB,"","2024-07-01 17:22:02","800-485-3671"
AMB,"","2024-07-01 17:24:39","800-513-0561"
AMB,"","2024-07-01 17:04:43","800-970-4396"
AMB,"","2024-07-01 16:55:04","800-906-3468"
AMB,"","2024-07-01 17:44:41","800-916-5983"
AMB,"","2024-07-01 17:42:51","800-469-0716"
AMB,"","2024-07-01 18:00:44","800-696-4783"
AMB,"","2024-07-01 16:29:43","800-974-3219"
AMB,"","2024-07-01 18:17:11","800-372-3087"
AMB,"","2024-07-01 18:34:13","800-485-3671"
AMB,"","2024-07-01 17:21:15","800-485-3671"
AMB,"","2024-07-01 16:24:05","800-513-0561"
AMB,"","2024-07-01 16:43:36","800-830-5338"
AMB,"","2024-07-01 16:43:49","800-916-5983"
AMB,"","2024-07-01 16:29:10","800-974-3219"
AMB,"","2024-07-01 16:21:05","800-209-4714"
AMB,"","2024-07-01 16:30:28","800-974-3219"
AMB,"","2024-07-01 16:47:44","800-785-2933"
AMB,"","2024-07-01 16:56:24","800-970-4396"
AMB,"","2024-07-01 16:18:56","800-485-3671"
AMB,"","2024-07-01 15:34:06","800-314-0253"
AMB,"","2024-07-01 16:19:13","800-485-3671"
AMB,"","2024-07-01 16:19:48","800-485-3671"
AMB,"","2024-07-01 16:21:59","800-401-8339"
AMB,"","2024-07-01 16:22:53","800-485-3671"
AMB,"","2024-07-01 17:18:59","800-994-9120"
AMB,"","2024-07-01 16:21:43","800-485-3671"
AMB,"","2024-07-01 16:19:53","800-485-3671"
AMB,"","2024-07-01 16:23:07","800-485-3671"
AMB,"","2024-07-01 16:43:42","800-657-9044"
AMB,"","2024-07-01 16:44:11","800-916-5983"
AMB,"","2024-07-01 16:47:39","800-785-2933"
AMB,"","2024-07-01 16:46:58","800-916-5983"
AMB,"","2024-07-01 16:47:48","800-510-2774"
AMB,"","2024-07-01 15:45:37","800-916-5983"
AMB,"","2024-07-01 15:57:37","800-679-0284"
AMB,"","2024-07-01 16:22:19","800-401-8339"
AMB,"","2024-07-01 16:25:32","800-485-3671"
AMB,"","2024-07-01 16:30:03","800-974-3219"
AMB,"","2024-07-01 16:38:30","800-401-8339"
AMB,"","2024-07-01 16:43:49","800-916-5983"
AMB,"","2024-07-01 16:52:10","800-830-5338"
AMB,"","2024-07-01 16:54:26","800-906-3468"
AMB,"","2024-07-01 16:47:28","800-830-5338"
AMB,"","2024-07-01 16:19:40","800-209-4714"
